Method,Parameter Types,Param Sizes,Total Param Size
org.mybatis.jpetstore.service.AccountService.updateAccount(org.mybatis.jpetstore.domain.Account): void,['org.mybatis.jpetstore.domain.Account'],[64],64
"org.mybatis.jpetstore.service.CatalogService.CatalogService(org.mybatis.jpetstore.mapper.CategoryMapper, org.mybatis.jpetstore.mapper.ItemMapper, org.mybatis.jpetstore.mapper.ProductMapper)","['org.mybatis.jpetstore.mapper.CategoryMapper', 'org.mybatis.jpetstore.mapper.ItemMapper', 'org.mybatis.jpetstore.mapper.ProductMapper']","[64, 64, 64]",192
org.mybatis.jpetstore.service.CatalogService.categoryMapper,[],[],0
org.mybatis.jpetstore.service.CatalogService.getCategory(java.lang.String): org.mybatis.jpetstore.domain.Category,['java.lang.String'],[24],24
org.mybatis.jpetstore.service.CatalogService.getCategoryList(): java.util.List,[],[],0
org.mybatis.jpetstore.service.CatalogService.getItem(java.lang.String): org.mybatis.jpetstore.domain.Item,['java.lang.String'],[24],24
org.mybatis.jpetstore.service.CatalogService.getItemListByProduct(java.lang.String): java.util.List,['java.lang.String'],[24],24
org.mybatis.jpetstore.service.CatalogService.getProduct(java.lang.String): org.mybatis.jpetstore.domain.Product,['java.lang.String'],[24],24
org.mybatis.jpetstore.service.CatalogService.getProductListByCategory(java.lang.String): java.util.List,['java.lang.String'],[24],24
org.mybatis.jpetstore.service.CatalogService.isItemInStock(java.lang.String): boolean,['java.lang.String'],[24],24
org.mybatis.jpetstore.service.CatalogService.itemMapper,[],[],0
org.mybatis.jpetstore.service.CatalogService.productMapper,[],[],0
org.mybatis.jpetstore.service.CatalogService.searchProductList(java.lang.String): java.util.List,['java.lang.String'],[24],24
"org.mybatis.jpetstore.service.OrderService.OrderService(org.mybatis.jpetstore.mapper.ItemMapper, org.mybatis.jpetstore.mapper.OrderMapper, org.mybatis.jpetstore.mapper.SequenceMapper, org.mybatis.jpetstore.mapper.LineItemMapper)","['org.mybatis.jpetstore.mapper.ItemMapper', 'org.mybatis.jpetstore.mapper.OrderMapper', 'org.mybatis.jpetstore.mapper.SequenceMapper', 'org.mybatis.jpetstore.mapper.LineItemMapper']","[64, 64, 64, 64]",256
org.mybatis.jpetstore.service.OrderService.getNextId(java.lang.String): int,['java.lang.String'],[24],24
org.mybatis.jpetstore.service.OrderService.getOrder(int): org.mybatis.jpetstore.domain.Order,['int'],[16],16
org.mybatis.jpetstore.service.OrderService.getOrdersByUsername(java.lang.String): java.util.List,['java.lang.String'],[24],24
org.mybatis.jpetstore.service.OrderService.insertOrder(org.mybatis.jpetstore.domain.Order): void,['org.mybatis.jpetstore.domain.Order'],[64],64
org.mybatis.jpetstore.service.OrderService.itemMapper,[],[],0
